NOM_ST_NO,ST_NO_1,ST_NO_2,ST_NO_3,ST_NO_4,ST_NO_5,ST_NO_6,ST_NO_7,ST_NO_8,ST_NO_9,ST_NO_10
AN0543D5, , , , , , , , , , 
AN0543D5,AN0543D6, , , , , , , , , 
AN0543D5,DP0748D1, , , , , , , , , 
AN0543D5,DP0748D1,DP0590D1, , , , , , , , 
AN0543D5,DP0590D1,DP0748D1, , , , , , , , 
AN0543D5,,,,,,,,,,
AN0691D1, , , , , , , , , , 
AN0691D1,DT0143D8, , , , , , , , , 
AN0691D2, , , , , , , , , , 
AN0691D2,,,,,,,,,,
AN0891D1, , , , , , , , , , 
AN0891D1,,,,,,,,,,
AN1053E5, , , , , , , , , , 
AN1064E5, , , , , , , , , , 
AN1064E5,AP0941D1, , , , , , , , , 
AN1064E5,,,,,,,,,,
AN1111C5, , , , , , , , , , 
AN1122Z1, , , , , , , , , , 
AN1122Z1,AN1122Z2, , , , , , , , , 
AN1122Z1,AP1055E5, , , , , , , , , 
AN1122Z1,AN1122Z2,AN1122Z3,AN1122Z4, , , , , , , 
AN1122Z1,AN1064E5,AN1540E5,AP0961E1,AN0691D1,AP1056E1,AP1055E5,AQ1060H5,AN0543D5,AP0540D1, 
AN1122Z1,AN1064E5,AN1540E5,AP0961E1,AN0691D1,AP1056E1,AP1055E5,AQ1060H5,AN0543D5,AP1052E5,AP0540D1
AN1122Z1,AN1064E5,AN1540E5,AP0961E1,AN0691D1,AP1056E1,AP1055E5,AQ1060H5,AN0543D5,DP0161D1,AP0540D1
AN1122Z1,,,,,,,,,,
AN1122Z2, , , , , , , , , , 
AN1122Z2,AP1550E5,AP1261E1,AN1950E1, , , , , , , 
AN1122Z2,AP1550E5,AP1261E1,AN1950E1,AN1540E5, , , , , , 
AN1122Z2,AN1064E5,AN1540E5,AP0961E1,AN0691D1,AP1056E1,AP1055E5,AQ1060H5,AN0543D5,AP0540D1, 
AN1122Z2,AN1064E5,AN1540E5,AP0961E1,AN0691D1,AP1056E1,AP1055E5,AQ1060H5,AN0543D5,DP0161D1,AP0540D1
AN1122Z2,,,,,,,,,,
AN1122Z3, , , , , , , , , , 
