ORDER_NO,BACKLOG,ORDER_STATUS,ORDER_TYPE_CODE,NOM_ST_NO,ORDER_WIDTH,ORDER_WT,INNER_DELIVY_DATE,DELIVY_WEEK_FLAG,MAT_GROUP,SLAB_MAX_NOM_WIDTH,SLAB_MIN_NOM_WIDTH,SLAB_MAX_NOM_LEN,SLAB_MIN_NOM_LEN,SLAB_MAX_NOM_WT,SLAB_MIN_NOM_WT,NOM_ROLL_THICK,NOM_ROLL_WIDTH,UNPR_WEIGHT_1,UNPR_WEIGHT_4,UNIT_WT_MAX,UNIT_WT_MIN,MATERIAL_WEIGHT_1,MATERIAL_WEIGHT_3,MATERIAL_WEIGHT_4,ST_NO_1,ST_NO_2,ST_NO_3,ST_NO_4,ST_NO_5,ST_NO_6,ST_NO_7,ST_NO_8,ST_NO_9,ST_NO_10
I0E0000110,10010000000000000,43,TZA,AT5426A1,1245,46,20200131,C, ,,,,,,,2.995,1245,0,22.7,24,15,21.278,,33.5,,,,,,,,,,
I0E0000111,10010000000000000,43,TZA,AT5426A1,1220,46,20200131,C, ,,,,,,,2.995,1220,0,22.634,24,15,23.799,,23.59,,,,,,,,,,
I0L0000064,10015000000000000,41,QZA,EU7813A6,1145,700,20200131,C, ,1345,1145,12,8,25.705,20.564,2.525,1145,0,0,25,20,0,,0, , , , , , , , , , 
I0L0000064,1001D000000000000,41,QZA,EU7813A6,1145,700,20200131,C, ,1345,1145,12,8,25.527,20.421,2.525,1145,641.658,630.933,25,20,0,,0, , , , , , , , , , 
I0S0000112,10012000000000000,41,YZW,JT4415AF,1500,143.899,20200430,A, ,1682,1532,12,8,35.236,24.052,13.91,1532,24.606,24.195,9,0,0,,0, , , , , , , , , , 
I3A0014892,10033000000000000,41,QRA,JS7213A6,1500,30,20130430,C, ,1550,1500,11,8,33.461,23.55,4.03,1500,2.048,2.004,9,0,0,,0, , , , , , , , , , 
I3A0014893,10032000000000000,41,QRA,JS7213A6,1500,30,20130430,C, ,1550,1500,11,8,33.461,23.55,5.03,1500,2.052,2.008,9,0,0,,0, , , , , , , , , , 
I3A0020961,10012000000000000,41,QRA,JU9890A6,1800,14,20130531,C, ,1893,1828,12,8,42.044,28.7,8.38,1828,2.042,2.008,5,0,0,,0, , , , , , , , , , 
I3A0020962,10012000000000000,41,QRA,JU9890A6,1800,22,20130531,C, ,1893,1828,12,8,42.044,28.7,6.33,1828,2.042,2.008,5,0,0,,0, , , , , , , , , , 
I3S0000059,10012000000000000,41,YWA,MN0180E1,1480,2000,20151231,A, ,1580,1480,12,8,34.04,23.236,11.03,1480,78258.786,76950.626,10,0,0,,0, , , , , , , , , , 
I4A0056193,20036300000000000,43,QSC,ET5490A6,1253,2,20141231,C, ,1573,1293,11,8,29.739,18.676,4.024,1293,0,0,5,0,0,,0, , , , , , , , , , 
I5A0010345,10010000000000000,41,QHA,DT0145D1,1306,30,20150304,A, ,1506,1306,12,8,28.623,20.747,4.08,1306,1.684,1.656,28.623,20.4,0,,0, , , , , , , , , , 
I5A0046896,20035000000000000,43,QSC,ET5490A6,1250,2,20151031,C, ,1570,1290,11,8,29.67,18.633,4.02,1290,0,0,25,0,0,,0, , , , , , , , , , 
I5A0046896,50035000000000000,43,QSC,ET5490A6,1250,2,20151031,C, ,1440,1290,11,8,29.67,20.253,4.02,1290,0,0,25,0,0,,0, , , , , , , , , , 
