MAT_NO,ORDER_NO,WHOLE_BACKLOG,FIN_CUT_TIME,SLAB_THICK,SLAB_LEN,SLAB_WIDTH,WIDTH_TOP_SLAB,WIDTH_BOT_SLAB,SLAB_WT,SLAB_DEST,BG_MAT_STATUS,STOCK_NO,ST_NO,QUALITY_GRADE,ORDER_STATUS,ORDER_TYPE_CODE,INNER_DELIVY_DATE,DELIVY_WEEK_FLAG,
1011384325200, , ,20200422141459,249,8.416,1850,1850,1850,30.71,01,09,H31,AN0691D1,1,,,,,
1011953510400, , ,20200522152715,247,10.391,1930,1885,1930,38.53,01,09,H31,JU8891A6,1,,,,,
1011953510500, , ,20200522152725,247,10.391,1930,1885,1930,38.53,01,09,H31,JU8891A6,1,,,,,
1011953510588, , ,20200522153614,247,10.391,1930,1885,1930,38.53,01,09,H31,JU8891A6,1,,,,,
1011953510599, , ,20200522152808,247,10.391,1930,1885,1930,38.53,01,09,H31,JU8891A6,1,,,,,
110843101000, , ,20190411105210,247,10.305,1200,1200,1200,23.97,01,09,S11,DR4244E1,1,,,,,
1327213651000, , ,20190411105210,247,10.305,1200,1200,1200,23.97,01,09,S11,DR4244E1,1,,,,,
1428600865600,I7W0044712,20020000000000000,20160201085433,230,10.49,1350,1350,1350,25.8,03,02,H32,AP1055E5,1,43,QMB,20170930,C,
1440687735500,I7W0010666,10010000000000000,20140828145644,248,5.03,1850,1850,1850,18.29,01,02,H31,J96F37M6,1,43,QMB,20170331,C,
1515106910900,,20030020000000000,20160129163058,242,10.841,1340,1340,1340,27.9,08,02,H31,GT5444C1,1,,,,,
1523541940100,,10010000000000000,20151020114400,218,8.4,1060,0,0,15,01,02,H31,IX9140E1,1,,,,,
1523541940200,,10010000000000000,20151020115300,218,5.8,1070,0,0,10.57,01,02,H31,IX9140E1,1,,,,,
1523541940400,,10010000000000000,20151020121400,222,8.408,1070,0,0,15.7,01,02,H31,IX9140E1,1,,,,,
1523541940500,,10010000000000000,20151020122200,218,8.3,1070,0,0,15.16,01,02,H31,IX9140E1,1,,,,,
1523541940600,,10010000000000000,20151020123200,222,10.75,1070,0,0,19.9,01,02,H31,IX9140E1,1,,,,,
1523541940700,,10010000000000000,20151020124000,222,9.208,1066,0,0,17.48,01,02,H31,IX9140E1,1,,,,,
1523541940800,,10010000000000000,20151020124000,225,9.4,1050,1050,1050,17.21,01,02,H31,IX9140E1,1,,,,,
1523541945100,,10010000000000000,20151020114000,218,8.4,1300,0,0,18.53,01,02,H31,IX9140E1,1,,,,,
1523541945200,,10010000000000000,20151020115000,218,8.3,1300,0,0,18.34,01,02,H31,IX9140E1,1,,,,,
1523541945400,,10010000000000000,20151020121900,230,8.498,1300,0,0,19.9,01,02,H31,IX9140E1,1,,,,,
1523541945600,,10010000000000000,20151020123200,226,8.4,1250,0,0,18.65,01,02,H31,IX9140E1,1,,,,,
1611238110100,,10010011011240080,20161211003330,239,9.3,1630,0,0,29.06,01,02,H31,JU9810A6,1,,,,,
1611238110400,,10010011011240080,20161211005719,239,9.5,1646,1615,1646,29.33,01,02,H31,JU9810A6, ,,,,,
1711765310100,,10010011011240080,20170324063753,239,10.2,1642,1642,1600,31.84,01,09,H31,JU6822A8, ,,,,,
1711765315100,,10010011011240080,20170324063449,239,8.05,1642,1642,1600,25.25,01,09,H31,JU6822A8, ,,,,,
1711792515200,,1001200000000H000,20170318214946,245,10.511,1750,1635,1750,34.62,01,09,H31,EU6813A6, ,,,,,
1711807110100,I8A0100014,10010000000000000,20170322182317,245,9.006,1400,1400,1400,24.31,01,02,H31,JS5113A1,1,33,QHA,20181010,A,
1711807110200,,10010000000000000,20170322183622,245,11.485,1400,1400,1400,30.84,01,09,H31,JS5113A1,1,,,,,
1711807110300,,10010000000000000,20170322184340,245,8.712,1400,1400,1400,23.46,01,02,H31,JS5113A1,1,,,,,
1711807110400, ,10010000000000000,20170322185058,245,8.716,1400,1400,1400,23.5,01,02,H31,JS5113A1,1,,,,,
1711807110500, ,10010000000000000,20170322185810,245,8.714,1400,1400,1400,23.62,01,02,H31,JS5113A1,1,,,,,
1711807115300,,10010011011240080,20170322184505,245,9.079,1400,1400,1400,24.56,01,09,H31,JS5113A1,1,,,,,
1711807410500,,10010011011240080,20170322181508,245,9.816,1400,1400,1400,26.46,01,09,H31,JS5113A1,1,,,,,
1711853910100,,10010000000000000,20170331041418,239,9.32,1542,0,0,27.37,01,09,H31,IU6422A8,1,,,,,
1711854015200,,10010011011240080,20170331092045,245,8.228,1550,1550,1550,24.93,01,09,H31,IU6422A8,1,,,,,
1711886210100,,10010011011240080,20170405203617,247,8.679,1250,1250,1170,20.65,01,09,H31,AT4428A1, ,,,,,
1711886215100,,10010011011240080,20170405203024,247,8.688,1550,1385,1550,24.84,01,09,H31,AT4428A1, ,,,,,
1711919915300,,10010011011240080,20170412144129,247,10.041,1400,1400,1400,27.4,01,09,H31,IV5936E1,1,,,,,
1711919915400,,10010011011240080,20170412145004,247,10.041,1400,1400,1400,27.4,01,09,H31,IV5936E1,1,,,,,
1711919915500,,10010011011240080,20170412145839,247,10.041,1400,1400,1400,27.4,01,09,H31,IV5936E1,1,,,,,
1711919915600,,10010011011240080,20170412150722,247,10.041,1450,1450,1370,27.78,01,09,H31,IV5936E1, ,,,,,
1711922010100,,10010011011240080,20170412194054,239,8.01,1300,1135,1300,18.2,01,09,H31,ET5411A6, ,,,,,
1711922010300,,10010011011240080,20170412195927,247,10.004,1050,1050,1050,20.25,01,09,H31,ET5411A6,1,,,,,
1711922010600,,10010011011240080,20170412202416,247,10,1050,1050,1050,20.34,01,09,H31,ET5411A6,1,,,,,
1711922015100,,10010011011240080,20170412194104,239,5.8,1260,1125,1260,12.65,01,09,H31,ET5411A6, ,,,,,
1711942915100,,10010011011240080,20170417022954,247,10.523,1300,1135,1300,24.06,01,09,H31,DT5430E1, ,,,,,
1711942915400,,10010011011240080,20170417025438,247,10.097,1150,0,0,22.53,01,09,H31,DT5430E1,1,,,,,
1711942915700,,10010011011240080,20170417031800,247,10.049,1150,0,0,22.37,01,09,H31,DT5430E1,1,,,,,
1711943015100,,10010011011240080,20170417032506,247,9.342,1150,985,1150,18.81,01,09,H31,DT5430E1, ,,,,,
1711943110800,,10010011011240080,20170417052115,247,9.899,1050,1050,920,19.06,01,09,H31,DT5430E1, ,,,,,
1711960810100,,10010011011240080,20170420035323,239,10,1492,0,0,28.12,01,09,H31,JU6811A8, ,,,,,
1711960815100,,10010011011240080,20170420035349,239,10,1492,0,0,28.09,01,09,H31,JU6811A8,1,,,,,
1711961315100,,10010011011240080,20170420084248,240,9.35,1496,0,0,26.78,01,09,H31,JU6811A8,1,,,,,
1711961415100,,10010011011240080,20170420093526,245,10.95,1500,1500,1500,31.78,01,09,H31,JU6811A8,1,,,,,
1711978110300,,10010011011240080,20170423100105,247,10.965,1900,0,0,40.03,01,09,H31,JU9890A6,1,,,,,
1711978115200,,10010011011240080,20170423095003,247,10.967,1900,0,0,40.25,01,09,H31,JU9890A6,1,,,,,
1711978115300,,10010011011240080,20170423100021,247,10.967,1900,0,0,40.25,01,09,H31,JU9890A6,1,,,,,
1711978210200,I7FJ000121,10012000000H0H000,20170423102753,247,9.486,1700,1700,1700,31.268,01,12,H31,JU9892A6,1,43,QSA,20171031,C,
1711978210400,,10012000000H0H000,20170423112611,239,10.45,1892,1855,1892,37.43,01,09,H31,JU9892A6, ,,,,,
1711978215200,,10010011011240080,20170423102746,247,9.697,1900,0,0,35.59,01,09,H31,JU9892A6,1,,,,,
1711978215300,,10010011011240080,20170423103608,247,9.697,1900,0,0,35.53,01,09,H31,JU9892A6,1,,,,,
1711978215400,,10010011011240080,20170423112628,239,9.9,1900,1855,1900,35.5,01,09,H31,JU9892A6, ,,,,,
1711980325100, ,10010000000000000,20170422063102,242,11.673,1842,1842,1715,39.59,01,09,H31,AN2222Z1, ,,,,,
1712047225600,M7EC009690,20030005H000000F0,20170508234710,246,9.908,1146,1146,1046,21,08,01,S21,DT3851D1,1,43,QZA,20171031,C,
1712066510500,,10010011011240080,20170507062515,239,10.01,1642,0,0,30.9,01,09,H31,AV3946D5,1,,,,,
1712087710100,,10010011200000030,20170515211320,237,9.8,1342,0,0,24.65,01,09,H31,DU5410A1,1,,,,,
1712087710100,,10010011200000030,20170515211320,237,9.8,1342,0,0,24.65,01,09,H31,DU5410A1,1,,,,,
1712087715100,,10010011200000030,20170515211253,237,9.4,1342,0,0,23.78,01,09,H31,DU5410A1,1,,,,,
1712087715100,,10010011200000030,20170515211253,237,9.4,1342,0,0,23.78,01,09,H31,DU5410A1,1,,,,,
1712091525400,L7EC011226,B00100110H0000000,20170513101505,242,11.328,1742,1742,1617,37.46,01,01,H31,DQ0159D1,1,43,QZA,20171130,C,
1712103315100,,10010011011240080,20170523153757,239,10.45,1642,0,0,32.53,01,09,H31,JV5011A6,1,,,,,
1712103315200,,10010011011240080,20170523155114,247,11.211,1650,1650,1650,36.03,01,09,H31,JV5011A6,1,,,,,
1712103315400,,10010011011240080,20170523160948,247,8.406,1535,1535,1535,25.019,01,09,H31,JV5011A6, ,,,,,
